Prompt Number,Title,Use Case,Full Prompt,Aspect Ratio,Best Platforms
721,Rock Climbing Bouldering Adventure Sport,"Climbing gear, adventure sports, active lifestyle","You are a climbing adventure photographer capturing rock climbing and bouldering for climbing gear and adventure sport marketing. Create a dynamic adventure photograph showing climber on rock face or bouldering problem with climbing in progress and athletic challenge visible with natural outdoor light creating climbing atmosphere appropriate for climbing gear, adventure sports, or active challenge marketing emphasizing accessible climbing and problem-solving sport without requiring expert climber skills or dangerous free-solo climbing. Use natural outdoor lighting with authentic climbing and varied difficulty levels creating dynamic adventure atmosphere and accessible climbing sport with safety emphasis maintained. Feature rock climbing with adventure challenge atmosphere. Shot during real climbing with proper safety. The image should feel adventure-challenging, climbing-accessible, and safely exciting. Avoid dangerous free-solo or expert-only climbing imagery.",4:5,Climbing Gear / Adventure Sports / Active Lifestyle
722,Kayaking Water Sport Paddling Adventure,"Kayaking gear, water sports, paddle products","You are a water sport photographer capturing kayaking and paddling adventures for kayaking gear and water sport marketing. Create a scenic water photograph showing kayaker paddling in beautiful water environment whether lake, river, or coastal with kayaking in progress and water adventure visible with natural outdoor light creating kayaking atmosphere appropriate for kayaking gear, paddle products, or water sport marketing emphasizing accessible paddling and water enjoyment without requiring whitewater rafting expertise or dangerous water conditions. Use natural outdoor lighting with beautiful water settings and authentic kayaking creating scenic water atmosphere and accessible paddling adventure with calm to moderate water represented. Feature kayaking with water adventure atmosphere. Shot during real kayaking in beautiful settings. The image should feel water-scenic, paddling-accessible, and adventure-inviting. Avoid whitewater danger or expert-only water sport requirements.",16:9,Kayaking Gear / Water Sports / Paddle Products
723,Skiing Winter Sport Mountain Snow,"Ski gear, winter sports, mountain products","You are a winter sport photographer capturing skiing and mountain snow sports for ski gear and winter sport marketing. Create an exhilarating winter photograph showing skier on snowy mountain slopes with skiing action and winter sport visible with natural snowy daylight creating skiing atmosphere appropriate for ski gear, winter sports, or mountain recreation marketing emphasizing accessible skiing enjoyment and winter sport fun without requiring expert skier abilities or extreme backcountry skiing. Use natural winter light with beautiful snowy mountains and authentic skiing creating exhilarating winter atmosphere and accessible ski sport with varied skill levels represented. Feature skiing with winter mountain atmosphere. Shot during real skiing on actual slopes. The image should feel winter-exhilarating, skiing-accessible, and mountain-inviting. Avoid extreme sports or expert-only backcountry requirements.",16:9,Ski Gear / Winter Sports / Mountain Products
724,Surfing Wave Riding Ocean Sport,"Surfing gear, ocean products, beach sports","You are an ocean sport photographer capturing surfing and wave riding for surfing gear and ocean sport marketing. Create a dynamic ocean photograph showing surfer riding wave with surfing action and ocean sport visible with natural beach lighting creating surfing atmosphere appropriate for surfing gear, ocean products, or beach sport marketing emphasizing accessible wave riding and ocean connection without requiring professional surfer skills or massive wave conditions. Use natural beach lighting with beautiful ocean waves and authentic surfing creating dynamic ocean atmosphere and accessible surf sport with varied wave sizes represented. Feature surfing with ocean wave atmosphere. Shot during real surfing in actual ocean conditions. The image should feel ocean-dynamic, surfing-accessible, and wave-inviting. Avoid professional big wave requirements or extreme ocean danger.",16:9,Surfing Gear / Ocean Products / Beach Sports
725,Golf Course Country Club Sport,"Golf equipment, country clubs, golf products","You are a golf lifestyle photographer capturing golf sport and country club atmosphere for golf equipment and golf product marketing. Create a classic sport photograph showing golfer on beautiful course with golf action and country club environment visible with natural outdoor daylight creating golf atmosphere appropriate for golf equipment, golf products, or country club marketing emphasizing accessible golf enjoyment and recreational sport without requiring professional golfer skills or exclusive private club membership. Use natural outdoor lighting with beautiful golf course and authentic golf play creating classic sport atmosphere and accessible golf recreation with recreational golfers represented. Feature golf with country club atmosphere. Shot on real courses during actual golf. The image should feel sport-classic, golf-accessible, and course-inviting. Avoid professional tour requirements or exclusive membership gatekeeping.",16:9,Golf Equipment / Country Clubs / Golf Products
726,Tennis Court Racquet Sport Active,"Tennis equipment, racquet sports, court products","You are a racquet sport photographer capturing tennis and court sports for tennis equipment and racquet sport marketing. Create an energetic sport photograph showing tennis player on court with playing action and racquet sport visible with natural court lighting creating tennis atmosphere appropriate for tennis equipment, racquet products, or court sport marketing emphasizing accessible tennis play and recreational sport without requiring professional tennis player skills or competitive tournament level. Use natural court lighting with tennis court environment and authentic tennis play creating energetic sport atmosphere and accessible tennis recreation with recreational players represented. Feature tennis with racquet sport atmosphere. Shot on real courts during actual play. The image should feel sport-energetic, tennis-accessible, and court-inviting. Avoid professional tournament requirements or competitive-only sport focus.",16:9,Tennis Equipment / Racquet Sports / Court Products
727,Basketball Court Street Sport Urban,"Basketball equipment, urban sports, court products","You are an urban sport photographer capturing basketball and street court culture for basketball equipment and urban sport marketing. Create a dynamic urban photograph showing basketball player on outdoor or indoor court with playing action and urban sport culture visible with natural or court lighting creating basketball atmosphere appropriate for basketball equipment, urban products, or court sport marketing emphasizing accessible basketball play and street sport culture without requiring professional basketball player skills or organized league participation. Use natural or court lighting with authentic basketball environment and real street court culture creating dynamic urban sport atmosphere and accessible basketball recreation with varied skill players represented. Feature basketball with urban court atmosphere. Shot at real courts during actual play. The image should feel urban-dynamic, basketball-accessible, and street-sport authentic. Avoid professional league requirements or organized sport gatekeeping.",4:5,Basketball Equipment / Urban Sports / Court Products
728,Running Marathon Training Fitness,"Running gear, marathon products, training services","You are a running sport photographer capturing running training and marathon pursuit for running gear and training product marketing. Create an inspiring sport photograph showing runner training on road, trail, or track with running action and athletic training visible with natural outdoor light creating running atmosphere appropriate for running gear, marathon products, or training services emphasizing accessible running pursuit and training journey without requiring elite runner speeds or qualifying marathon times. Use natural outdoor lighting with varied running environments and authentic training creating inspiring athletic atmosphere and accessible running journey with runners of varied paces represented. Feature running with training pursuit atmosphere. Shot during real running training. The image should feel athletically inspiring, running-accessible, and training-motivating. Avoid elite runner requirements or speed-focused gatekeeping.",16:9,Running Gear / Marathon Products / Training Services
729,Swimming Pool Water Fitness Sport,"Swimming gear, pool products, aquatic fitness","You are an aquatic sport photographer capturing swimming and water fitness for swimming gear and pool product marketing. Create a refreshing aquatic photograph showing swimmer in pool with swimming action and water sport visible with natural or pool lighting creating swimming atmosphere appropriate for swimming gear, pool products, or aquatic fitness marketing emphasizing accessible swimming fitness and water sport enjoyment without requiring competitive swimmer abilities or lap swimming endurance. Use natural or pool lighting with clear water and authentic swimming creating refreshing aquatic atmosphere and accessible water fitness with recreational swimmers represented. Feature swimming with aquatic fitness atmosphere. Shot in real pools during actual swimming. The image should feel aquatic-refreshing, swimming-accessible, and water-inviting. Avoid competitive swimming requirements or lap endurance focus only.",16:9,Swimming Gear / Pool Products / Aquatic Fitness
730,Martial Arts Discipline Training Sport,"Martial arts gear, training products, discipline sports","You are a martial arts photographer capturing discipline training and martial sport for martial arts gear and training product marketing. Create a focused discipline photograph showing martial artist training with technique practice and disciplined sport visible with dojo or training space lighting creating martial arts atmosphere appropriate for martial arts gear, training products, or discipline sport marketing emphasizing accessible martial arts training and discipline development without requiring black belt mastery or competitive fighting focus. Use training space lighting with authentic martial arts practice and varied skill levels creating focused discipline atmosphere and accessible martial arts journey with beginner to intermediate students represented. Feature martial arts with disciplined training atmosphere. Shot during real training in authentic dojos. The image should feel disciplined-focused, martial arts-accessible, and training-developmental. Avoid black belt requirements or competitive fighting focus only.",4:5,Martial Arts Gear / Training Products / Discipline Sports
731,Pilates Studio Core Fitness Wellness,"Pilates equipment, studio fitness, core wellness","You are a Pilates fitness photographer capturing core training and Pilates wellness for Pilates equipment and studio fitness marketing. Create a graceful fitness photograph showing person doing Pilates with controlled movement and core engagement visible in clean studio setting with soft natural or studio lighting creating Pilates atmosphere appropriate for Pilates equipment, studio products, or core wellness marketing emphasizing accessible Pilates practice and mindful fitness without requiring dancer flexibility or advanced Pilates certification. Use soft studio lighting with clean Pilates studio and authentic controlled movement creating graceful wellness atmosphere and accessible Pilates fitness with varied abilities represented. Feature Pilates with core wellness atmosphere. Shot in real Pilates studios during actual classes. The image should feel gracefully controlled, Pilates-accessible, and wellness-mindful. Avoid requiring dancer flexibility or advanced certification.",4:5,Pilates Equipment / Studio Fitness / Core Wellness
732,CrossFit Training Functional Fitness,"CrossFit gear, functional fitness, training products","You are a functional fitness photographer capturing CrossFit training and functional fitness for CrossFit gear and training product marketing. Create an energetic training photograph showing athlete doing functional fitness movements with CrossFit-style training and athletic work visible in gym setting with gym lighting creating CrossFit atmosphere appropriate for CrossFit gear, functional fitness products, or training marketing emphasizing accessible functional fitness and varied athlete abilities without requiring elite CrossFit games competitor level or intimidating hardcore-only gym culture. Use gym lighting with authentic CrossFit or functional fitness training and varied athlete abilities creating energetic training atmosphere and accessible functional fitness with beginner to intermediate athletes represented. Feature CrossFit with functional training atmosphere. Shot in real gyms during actual training. The image should feel energetically athletic, functional fitness-accessible, and training-welcoming. Avoid elite games requirements or intimidating hardcore-only culture.",16:9,CrossFit Gear / Functional Fitness / Training Products
733,Barre Fitness Ballet Inspired Workout,"Barre equipment, ballet fitness, studio products","You are a barre fitness photographer capturing ballet-inspired workouts and barre training for barre equipment and ballet fitness marketing. Create an elegant fitness photograph showing person doing barre workout with ballet-inspired movements and graceful strength visible in barre studio setting with soft studio lighting creating barre fitness atmosphere appropriate for barre equipment, ballet-inspired products, or studio fitness marketing emphasizing accessible barre training and graceful strength building without requiring professional ballet dancer training or extreme flexibility. Use soft studio lighting with authentic barre studio and real ballet-inspired fitness creating elegant training atmosphere and accessible barre workout with varied abilities represented. Feature barre fitness with ballet-inspired atmosphere. Shot in real barre studios during actual classes. The image should feel elegantly strengthening, barre-accessible, and gracefully athletic. Avoid requiring ballet dancer training or extreme flexibility.",4:5,Barre Equipment / Ballet Fitness / Studio Products
734,Boxing Training Combat Sport Fitness,"Boxing equipment, combat fitness, training gear","You are a combat sport photographer capturing boxing training and combat fitness for boxing equipment and training gear marketing. Create a powerful training photograph showing boxer training with punching bag, mitts, or boxing technique practice and combat sport visible in boxing gym with gym lighting creating boxing atmosphere appropriate for boxing equipment, combat fitness products, or training gear marketing emphasizing accessible boxing training and fitness benefits without requiring professional fighter aspirations or actual combat competition focus. Use gym lighting with authentic boxing training and fitness-focused boxing creating powerful training atmosphere and accessible combat sport with fitness boxers represented. Feature boxing with combat fitness atmosphere. Shot in real boxing gyms during actual training. The image should feel powerfully athletic, boxing-accessible, and fitness-focused. Avoid requiring fighter aspirations or combat competition focus only.",16:9,Boxing Equipment / Combat Fitness / Training Gear
735,Spin Cycling Indoor Studio Cardio,"Spin equipment, cycling studios, cardio fitness","You are an indoor cycling photographer capturing spin class energy and studio cardio for spin equipment and cycling studio marketing. Create an energetic fitness photograph showing spin class in progress with indoor cycling and high-energy cardio visible in darkened studio with dramatic studio lighting and bike screens creating spin atmosphere appropriate for spin equipment, cycling studios, or cardio fitness marketing emphasizing accessible indoor cycling and energetic group fitness without requiring outdoor cycling skills or extreme fitness levels. Use dramatic studio lighting with authentic spin class energy and motivating group atmosphere creating energetic cardio atmosphere and accessible indoor cycling with varied fitness levels represented. Feature spin cycling with studio cardio atmosphere. Shot during real spin classes in actual studios. The image should feel energetically motivating, spin-accessible, and cardio-fun. Avoid requiring cycling skills or extreme fitness levels.",16:9,Spin Equipment / Cycling Studios / Cardio Fitness
736,Dance Fitness Zumba Movement Joy,"Dance fitness, Zumba products, movement programs","You are a dance fitness photographer capturing movement joy and dance exercise for dance fitness and Zumba product marketing. Create a joyful fitness photograph showing dance fitness class with participants moving to music and joyful exercise visible in studio setting with bright studio lighting creating dance fitness atmosphere appropriate for dance programs, Zumba products, or movement fitness marketing emphasizing accessible dance exercise and fitness fun without requiring professional dance skills or perfect choreography execution. Use bright studio lighting with authentic dance fitness energy and joyful participants creating fun movement atmosphere and accessible dance exercise with varied dance abilities represented. Feature dance fitness with joyful movement atmosphere. Shot during real classes with actual participants. The image should feel joyfully moving, dance-accessible, and fitness-fun. Avoid requiring dance skills or perfect choreography.",4:5,Dance Fitness / Zumba Products / Movement Programs
737,HIIT Training Interval Fitness Intense,"HIIT equipment, interval training, intense fitness","You are an interval training photographer capturing HIIT workouts and intense interval fitness for HIIT equipment and interval training marketing. Create an intense fitness photograph showing HIIT workout in progress with high-intensity exercise and interval training visible in training space with gym lighting creating HIIT atmosphere appropriate for HIIT equipment, interval products, or intense fitness marketing emphasizing accessible interval training and efficient workouts without requiring extreme fitness levels or hardcore athlete status. Use gym lighting with authentic HIIT training and varied intensity levels creating intense training atmosphere and accessible interval fitness with modifications shown for different abilities. Feature HIIT with interval training atmosphere. Shot during real HIIT workouts. The image should feel intensely effective, HIIT-accessible, and efficiently challenging. Avoid requiring extreme fitness or hardcore athlete status.",16:9,HIIT Equipment / Interval Training / Intense Fitness
738,Stretching Flexibility Mobility Wellness,"Stretching products, flexibility tools, mobility wellness","You are a flexibility wellness photographer capturing stretching and mobility work for stretching product and flexibility tool marketing. Create a peaceful wellness photograph showing person stretching with proper technique and mobility work visible in clean space with soft natural light creating stretching atmosphere appropriate for stretching products, flexibility tools, or mobility wellness marketing emphasizing accessible stretching practice and flexibility development without requiring contortionist flexibility or extreme range of motion. Use soft natural light with authentic stretching and proper technique demonstration creating peaceful wellness atmosphere and accessible mobility work with realistic flexibility levels represented. Feature stretching with flexibility wellness atmosphere. Shot during real stretching practice. The image should feel peacefully beneficial, stretching-accessible, and mobility-improving. Avoid contortionist extremes or unrealistic flexibility.",4:5,Stretching Products / Flexibility Tools / Mobility Wellness
739,Foam Rolling Recovery Self Care,"Recovery tools, foam rollers, self-care products","You are a recovery wellness photographer capturing foam rolling and self-care recovery for recovery tool and foam roller marketing. Create a self-care photograph showing person foam rolling with recovery technique and muscle care visible in home or gym setting with natural or ambient lighting creating recovery atmosphere appropriate for foam rollers, recovery tools, or self-care products marketing emphasizing accessible recovery practices and self-care importance without requiring physical therapy expertise or medical knowledge. Use natural or ambient lighting with authentic foam rolling and proper recovery technique creating self-care atmosphere and accessible recovery practice with educational approach to technique. Feature foam rolling with recovery self-care atmosphere. Shot during real recovery practices. The image should feel self-care beneficial, recovery-accessible, and technique-educational. Avoid requiring therapy expertise or medical knowledge.",4:5,Recovery Tools / Foam Rollers / Self-Care Products
740,Personal Training Fitness Coaching Support,"Personal training services, fitness coaching, training programs","You are a personal training photographer capturing fitness coaching and training support for personal training service and coaching program marketing. Create a supportive training photograph showing trainer working with client demonstrating exercise with coaching support and personal attention visible in gym or training space with natural gym lighting creating personal training atmosphere appropriate for training services, fitness coaching, or training programs marketing emphasizing supportive guidance and personalized attention without intimidating hardcore trainer or boot camp drill sergeant stereotypes. Use natural gym lighting with authentic trainer-client interaction and supportive encouraging coaching creating helpful training atmosphere and personalized fitness guidance with positive motivating relationship visible. Feature personal training with supportive coaching atmosphere. Shot during real training sessions. The image should feel supportively guiding, training-helpful, and coach-encouraging. Avoid intimidating drill sergeant or hardcore trainer stereotypes.",16:9,Personal Training Services / Fitness Coaching / Training Programs
741,Nutrition Coaching Meal Planning Wellness,"Nutrition services, meal planning, wellness coaching","You are a nutrition wellness photographer capturing meal planning and nutrition coaching for nutrition service and wellness coaching marketing. Create a supportive wellness photograph showing nutrition consultation, healthy meal planning, or nutrition guidance with client and coach interaction visible in consultation setting with natural lighting creating nutrition coaching atmosphere appropriate for nutrition services, meal planning programs, or wellness coaching marketing emphasizing supportive guidance and sustainable healthy eating without extreme dieting or restrictive eating disorder messaging. Use natural lighting with authentic nutrition consultation and supportive coaching interaction creating helpful wellness atmosphere and balanced nutrition approach with anti-diet health-focused messaging. Feature nutrition coaching with supportive wellness atmosphere. Shot during real consultations. The image should feel supportively healthy, nutrition-balanced, and wellness-sustainable. Avoid extreme dieting or eating disorder triggering messaging.",16:9,Nutrition Services / Meal Planning / Wellness Coaching
742,Physical Therapy Rehabilitation Recovery,"Physical therapy services, rehabilitation, recovery programs","You are a rehabilitation photographer capturing physical therapy and recovery treatment for physical therapy service and rehabilitation program marketing. Create a professional therapy photograph showing physical therapist working with patient demonstrating rehabilitation exercise with therapeutic support and recovery progress visible in clinical therapy setting with clinical lighting creating physical therapy atmosphere appropriate for therapy services, rehabilitation programs, or recovery marketing emphasizing professional expertise and patient progress without emphasizing pain or injury severity. Use clinical lighting with authentic therapy session and professional patient interaction creating supportive recovery atmosphere and therapeutic progress with hopeful recovery emphasis. Feature physical therapy with rehabilitation recovery atmosphere. Shot during real therapy sessions with appropriate privacy. The image should feel professionally therapeutic, recovery-progressive, and hopefully healing. Avoid pain emphasis or injury severity focus.",16:9,Physical Therapy Services / Rehabilitation / Recovery Programs
743,Chiropractic Care Spinal Health Wellness,"Chiropractic services, spinal health, wellness care","You are a chiropractic care photographer capturing spinal health treatment and chiropractic wellness for chiropractic service and spinal health marketing. Create a professional care photograph showing chiropractor providing treatment with spinal adjustment or wellness care visible in chiropractic office with professional office lighting creating chiropractic atmosphere appropriate for chiropractic services, spinal health products, or wellness care marketing emphasizing professional expertise and gentle care without emphasizing pain or promoting pseudoscience claims. Use professional lighting with authentic chiropractic treatment and professional patient care creating wellness care atmosphere and spinal health focus with evidence-based approach emphasized. Feature chiropractic with spinal wellness atmosphere. Shot in real chiropractic offices. The image should feel professionally caring, spinal health-focused, and evidence-based. Avoid pain focus or pseudoscience promotion.",16:9,Chiropractic Services / Spinal Health / Wellness Care
744,Massage Therapy Relaxation Bodywork,"Massage services, spa therapy, bodywork wellness","You are a massage therapy photographer capturing relaxation treatment and therapeutic bodywork for massage service and spa therapy marketing. Create a peaceful therapy photograph showing massage therapist providing treatment with therapeutic touch and client relaxation visible in tranquil spa or therapy room with soft ambient lighting creating massage atmosphere appropriate for massage services, spa therapy, or bodywork wellness marketing emphasizing professional therapeutic care and relaxation benefits without inappropriate imagery or sexual suggestion. Use soft ambient lighting with professional therapeutic session and appropriate draping creating peaceful wellness atmosphere and therapeutic relaxation with professional boundaries maintained. Feature massage therapy with relaxation wellness atmosphere. Shot in real spa or therapy settings with appropriate professionalism. The image should feel peacefully therapeutic, professionally caring, and relaxation-focused. Avoid inappropriate imagery or sexual suggestion.",4:5,Massage Services / Spa Therapy / Bodywork Wellness
745,Acupuncture Traditional Medicine Holistic,"Acupuncture services, traditional medicine, holistic health","You are a traditional medicine photographer capturing acupuncture treatment and holistic healing for acupuncture service and holistic health marketing. Create a serene treatment photograph showing acupuncture session with needles placed and holistic treatment visible in calm treatment room with soft natural lighting creating acupuncture atmosphere appropriate for acupuncture services, traditional medicine, or holistic health marketing emphasizing ancient healing tradition and gentle treatment without emphasizing needle fear or promoting cure-all claims. Use soft natural lighting with authentic acupuncture treatment and peaceful treatment environment creating calm healing atmosphere and traditional medicine respect with realistic treatment expectations. Feature acupuncture with holistic healing atmosphere. Shot in real treatment rooms. The image should feel serenely healing, traditionally respectful, and gently therapeutic. Avoid needle fear emphasis or cure-all unrealistic claims.",4:5,Acupuncture Services / Traditional Medicine / Holistic Health
746,Mental Health Therapy Counseling Support,"Therapy services, mental health, counseling support","You are a mental health photographer capturing therapy support and counseling care for therapy service and mental health marketing. Create a supportive therapeutic photograph showing therapy session with therapist and client in comfortable counseling office with natural lighting creating therapy atmosphere appropriate for therapy services, mental health support, or counseling marketing emphasizing professional support and safe therapeutic space without stigmatizing mental health or showing client distress. Use natural lighting with comfortable therapy office and supportive professional environment creating safe therapeutic atmosphere and mental health support with stigma-reducing positive messaging. Feature mental health therapy with counseling support atmosphere. Shot in real therapy offices with appropriate privacy and ethical considerations. The image should feel supportively safe, professionally therapeutic, and stigma-reducing. Avoid mental health stigma or client distress display.",16:9,Therapy Services / Mental Health / Counseling Support
747,Telehealth Virtual Healthcare Digital Medicine,"Telehealth services, virtual care, digital healthcare","You are a telehealth photographer capturing virtual healthcare and digital medicine for telehealth service and virtual care marketing. Create a modern healthcare photograph showing patient having telehealth appointment via computer or device with doctor visible on screen and virtual consultation in progress in comfortable home setting with natural indoor lighting creating telehealth atmosphere appropriate for telehealth services, virtual care platforms, or digital healthcare marketing emphasizing convenient accessible healthcare and technology enabling care without losing human connection or medical professionalism. Use natural indoor lighting with authentic telehealth appointment and comfortable home environment creating accessible healthcare atmosphere and digital medicine convenience with human care connection maintained. Feature telehealth with virtual healthcare atmosphere. Shot during real telehealth appointments with appropriate privacy. The image should feel accessibly convenient, virtually caring, and professionally connected. Avoid cold technology or lost human healthcare connection.",16:9,Telehealth Services / Virtual Care / Digital Healthcare
748,Pharmacy Medication Healthcare Professional,"Pharmacy services, medication management, healthcare retail","You are a pharmaceutical care photographer capturing pharmacy services and medication management for pharmacy service and healthcare retail marketing. Create a professional healthcare photograph showing pharmacist providing medication consultation or pharmacy service with professional interaction and healthcare expertise visible in clean pharmacy setting with bright pharmacy lighting creating pharmacy atmosphere appropriate for pharmacy services, medication products, or healthcare retail marketing emphasizing professional pharmaceutical care and medication expertise without emphasizing illness or promoting overmedication. Use bright pharmacy lighting with authentic pharmacy environment and professional pharmacist-patient interaction creating trustworthy healthcare atmosphere and pharmaceutical expertise with responsible medication messaging. Feature pharmacy with professional healthcare atmosphere. Shot in real pharmacies with appropriate privacy. The image should feel professionally caring, pharmaceutically expert, and healthcare-trustworthy. Avoid illness emphasis or overmedication promotion.",16:9,Pharmacy Services / Medication Management / Healthcare Retail
749,Laboratory Medical Testing Healthcare Science,"Laboratory services, medical testing, diagnostic services","You are a medical laboratory photographer capturing lab testing and diagnostic services for laboratory service and medical testing marketing. Create a professional scientific photograph showing lab professional performing tests with medical laboratory equipment and scientific testing visible in clean laboratory setting with bright lab lighting creating laboratory atmosphere appropriate for lab services, medical testing, or diagnostic products marketing emphasizing professional scientific expertise and accurate testing without emphasizing medical fear or disease focus. Use bright lab lighting with authentic laboratory environment and professional scientific work creating trustworthy scientific atmosphere and testing accuracy with professional healthcare standards. Feature laboratory with medical science atmosphere. Shot in real medical laboratories with appropriate protocols. The image should feel scientifically professional, medically accurate, and trustworthy-expert. Avoid medical fear emphasis or disease-focused messaging.",16:9,Laboratory Services / Medical Testing / Diagnostic Services
750,Telemedicine Prescription Refill Digital Health,"Digital prescriptions, online healthcare, telemedicine apps","You are a digital health photographer capturing telemedicine prescriptions and online healthcare for digital prescription service and telemedicine app marketing. Create a convenient digital photograph showing person using smartphone or device to request prescription refill or access medication with digital healthcare interface visible in everyday setting with natural lighting creating digital health atmosphere appropriate for telemedicine apps, online prescription services, or digital healthcare platforms emphasizing convenient healthcare access and medication management without encouraging medication misuse or bypassing necessary medical care. Use natural lighting with authentic digital health usage and comfortable everyday environment creating accessible healthcare atmosphere and convenient digital medicine with appropriate healthcare standards maintained. Feature telemedicine with digital prescription atmosphere. Shot in real-life usage scenarios. The image should feel conveniently accessible, digitally healthcare-enabled, and appropriately professional. Avoid medication misuse suggestion or medical care bypassing.",4:5,Digital Prescriptions / Online Healthcare / Telemedicine Apps
751,Blood Donation Community Health Giving,"Blood donation services, community health, giving campaigns","You are a community health photographer capturing blood donation and community giving for blood donation service and community health marketing. Create an inspiring community photograph showing blood donor giving donation with medical professional assistance and community health contribution visible in donation center with bright medical lighting creating donation atmosphere appropriate for blood donation services, community health campaigns, or giving programs marketing emphasizing community contribution and life-saving donation without emphasizing blood or needle fear. Use bright medical lighting with professional donation environment and supportive donation experience creating community giving atmosphere and life-saving contribution with fear-reducing positive messaging. Feature blood donation with community giving atmosphere. Shot in real donation centers with appropriate privacy. The image should feel community-contributing, life-saving positive, and fear-reducing encouraging. Avoid blood gore or needle fear emphasis.",16:9,Blood Donation Services / Community Health / Giving Campaigns
752,Health Insurance Coverage Security,"Health insurance, coverage products, healthcare security","You are a healthcare insurance photographer capturing coverage security and healthcare protection for health insurance and coverage product marketing. Create a secure reassuring photograph showing family or individual representing health coverage with insurance materials or healthcare security suggested in comfortable home setting with natural lighting creating insurance security atmosphere appropriate for health insurance, coverage products, or healthcare security marketing emphasizing protection and peace of mind without fear-based medical crisis messaging or confusing insurance complexity. Use natural lighting with comfortable home environment and diverse families or individuals creating security atmosphere and healthcare protection with clear accessible insurance messaging avoiding complexity. Feature health insurance with coverage security atmosphere. Shot with authentic diverse representation. The image should feel secure-protecting, peace of mind-giving, and accessibly clear. Avoid fear-based crisis messaging or confusing insurance complexity.",16:9,Health Insurance / Coverage Products / Healthcare Security
753,Dental Hygiene Oral Care Daily Routine,"Dental products, oral hygiene, daily care","You are an oral care photographer capturing dental hygiene and daily routine for dental product and oral hygiene marketing. Create a fresh clean photograph showing person practicing good oral hygiene with toothbrushing, flossing, or dental care in bathroom setting with bright bathroom lighting creating dental hygiene atmosphere appropriate for dental products, oral care items, or hygiene routine marketing emphasizing daily care importance and healthy habits without emphasizing dental problems or creating dental anxiety. Use bright bathroom lighting with authentic oral care routine and clean bathroom environment creating fresh hygiene atmosphere and healthy daily habits with positive dental care messaging. Feature dental hygiene with oral care routine atmosphere. Shot in real bathroom settings during actual hygiene routines. The image should feel fresh-clean, hygiene-healthy, and routine-positive. Avoid dental problem emphasis or anxiety-creating imagery.",4:5,Dental Products / Oral Hygiene / Daily Care
754,Vision Care Eye Health Optical,"Vision products, eye care, optical services","You are a vision care photographer capturing eye health and optical services for vision product and eye care marketing. Create a professional optical photograph showing eye exam, vision testing, or optical consultation with eye care professional and patient interaction visible in clean optical office with bright office lighting creating vision care atmosphere appropriate for eyewear products, eye care services, or optical marketing emphasizing professional eye health and vision protection without emphasizing vision loss fear or medical eye problems. Use bright office lighting with professional optical environment and caring patient interaction creating trustworthy vision care atmosphere and eye health focus with preventive care emphasis. Feature vision care with optical health atmosphere. Shot in real optical offices with appropriate professionalism. The image should feel professionally caring, vision-protecting, and eye health-focused. Avoid vision loss fear or medical problem emphasis.",16:9,Vision Products / Eye Care / Optical Services
755,Hearing Healthcare Audio Health Audiology,"Hearing aids, audiology services, audio health","You are an audiology photographer capturing hearing healthcare and audio wellness for hearing aid and audiology service marketing. Create a professional audiology photograph showing hearing test, hearing aid fitting, or audiology consultation with audiologist and patient interaction visible in audiology office with professional office lighting creating hearing care atmosphere appropriate for hearing aids, audiology services, or audio health marketing emphasizing professional hearing healthcare and hearing protection without emphasizing hearing loss fear or social isolation. Use professional lighting with authentic audiology environment and supportive patient care creating trustworthy hearing care atmosphere and audio health focus with quality of life emphasis. Feature hearing care with professional audiology atmosphere. Shot in real audiology offices with appropriate sensitivity. The image should feel professionally supportive, hearing-protecting, and quality of life-enhancing. Avoid hearing loss fear or social isolation emphasis.",16:9,Hearing Aids / Audiology Services / Audio Health
756,Sleep Health Rest Quality Wellness,"Sleep products, rest wellness, sleep services","You are a sleep wellness photographer capturing rest quality and sleep health for sleep product and rest wellness marketing. Create a peaceful rest photograph showing person sleeping peacefully in comfortable bed with quality sleep visible in serene bedroom setting with soft ambient lighting creating sleep wellness atmosphere appropriate for sleep products, mattresses, or rest wellness marketing emphasizing sleep quality importance and restful sleep without showing sleeping person inappropriately or promoting sleep medication dependency. Use soft ambient lighting with comfortable bedroom environment and peaceful restful sleep creating wellness sleep atmosphere and rest quality focus with natural sleep health emphasis. Feature sleep wellness with rest quality atmosphere. Shot in real bedroom settings with appropriate privacy and dignity. The image should feel peacefully restful, sleep-quality focused, and wellness-healthy. Avoid inappropriate sleeping imagery or medication dependency promotion.",16:9,Sleep Products / Rest Wellness / Sleep Services
